Town,"April 1, 2010 Census","April 1, 2010 Estimates Base","Population Estimate July 1, 2010","Population Estimate July 1, 2011","Population Estimate July 1, 2012","Population Estimate July 1, 2013","Population Estimate July 1, 2014","Population Estimate July 1, 2015","Population Estimate July 1, 2016","Population Estimate July 1, 2017"
Adjuntas ,19483,19483,19472,19297,19116,19019,18798,18560,18276,17971
Aguada ,41959,41959,41913,41532,41107,40707,40135,39539,38853,38118
Aguadilla ,60949,60949,60766,59976,58978,58036,57078,55808,54525,53164
Aguas Buenas ,28659,28659,28652,28333,28052,27782,27350,26913,26382,25850
Aibonito ,25900,25900,25874,25537,25205,24879,24448,24040,23566,23108
Añasco ,29261,29261,29265,29094,28851,28619,28317,27942,27521,27059
Arecibo ,96440,96440,96222,95009,93841,92954,91240,89628,87864,86066
Arroyo ,19575,19575,19573,19432,19245,19069,18817,18533,18220,17881
Barceloneta ,24816,24816,24827,24820,24808,24834,24778,24621,24440,24240
Barranquitas ,30318,30318,30324,30191,30017,29869,29591,29291,28924,28511
Bayamón ,208116,208105,207646,204462,201004,197479,193075,188740,184213,179565
Cabo Rojo ,50917,50917,50971,50802,50653,50542,50159,49773,49333,48824
Caguas ,142893,142917,142863,141506,140111,138674,136607,134383,132079,129604
Camuy ,35159,35159,35124,34776,34395,34056,33531,33005,32354,31732
Canóvanas ,47648,47639,47685,47661,47649,47544,47280,46887,46362,45823
Carolina ,176762,176769,176432,173852,171140,168517,165316,161870,158227,154489
Cataño ,28140,28140,28084,27634,27186,26772,26226,25603,24998,24374
Cayey ,48119,48119,48111,47671,47226,46767,46126,45466,44767,44027
Ceiba ,13631,13631,13611,13353,13090,12872,12552,12243,11920,11602
Ciales ,18782,18782,18753,18467,18205,17978,17682,17345,16993,16627
Cidra ,43480,43480,43483,43167,42780,42460,41857,41225,40551,39813
Coamo ,40512,40512,40576,40569,40470,40412,40161,39875,39459,39071
Comerío ,20778,20778,20791,20630,20499,20400,20207,19967,19654,19343
Corozal ,37142,37142,37130,36785,36425,36063,35551,34989,34370,33694
Culebra ,1818,1818,1820,1811,1812,1814,1810,1803,1789,1769
Dorado ,38165,38165,38239,38271,38237,38251,38083,37807,37441,37026
Fajardo ,36993,36993,36875,36222,35515,34836,33934,33071,32208,31324
Florida ,12680,12680,12688,12590,12514,12442,12335,12169,11980,11775
Guánica ,19427,19427,19376,18975,18624,18240,17809,17361,16864,16363
Guayama ,45362,45362,45277,44434,43987,43896,43286,42655,41998,41281
Guayanilla ,21581,21581,21523,21184,20833,20513,20071,19588,19109,18611
Guaynabo ,97924,97921,97796,96619,95308,94124,92413,90859,89142,87328
Gurabo ,45369,45371,45561,46041,46456,46876,47042,47181,47163,47109
Hatillo ,41953,41953,41979,41905,41778,41722,41411,41047,40598,40111
Hormigueros ,17250,17250,17250,17162,17028,16885,16702,16493,16260,16032
Humacao ,58466,58466,58375,57787,57131,56531,55724,54849,53805,52771
Isabela ,45631,45655,45654,45324,44921,44558,44000,43363,42700,41949
Jayuya ,16642,16642,16641,16419,16163,15927,15654,15305,14976,14625
Juana Díaz ,50747,50747,50736,50273,49798,49362,48721,48023,47252,46400
Juncos ,40290,40290,40349,40295,40242,40256,39961,39751,39453,39101
Lajas ,25753,25753,25704,25386,25118,24792,24392,23918,23435,22929
Lares ,30753,30753,30631,30004,29369,28793,28106,27370,26564,25772
Las Marías ,9881,9881,9869,9679,9501,9340,9105,8875,8646,8402
Las Piedras ,38675,38675,38714,38768,38731,38718,38557,38302,38027,37659
Loíza ,30060,30060,30017,29525,29015,28548,27929,27230,26577,25926
Luquillo ,20068,20068,20055,19907,19736,19532,19294,18977,18646,18311
Manatí ,44113,44113,44041,43471,42863,42295,41508,40709,39911,39103
Maricao ,6276,6276,6277,6204,6130,6080,5988,5880,5774,5665
Maunabo ,12225,12243,12233,12066,11907,11752,11544,11313,11068,10808
Mayagüez ,89080,89080,88793,87059,85299,83685,81613,79640,77613,75525
Moca ,40109,40109,40100,39743,39343,38931,38332,37736,37055,36328
Morovis ,32610,32610,32651,32587,32485,32372,32125,31849,31487,31092
Naguabo ,26720,26720,26774,26839,26868,26898,26788,26629,26428,26177
Naranjito ,30402,30402,30387,30192,30023,29831,29521,29156,28746,28306
Orocovis ,23423,23423,23421,23158,22888,22661,22312,21929,21519,21109
Patillas ,19277,19259,19230,18961,18707,18480,18159,17792,17412,17004
Peñuelas ,24282,24282,24214,23759,23269,22806,22270,21705,21075,20447
Ponce ,166327,166327,165723,162637,159338,156414,152992,149050,144999,140859
Quebradillas ,25919,25919,25895,25695,25491,25288,24950,24595,24171,23734
Rincón ,15200,15200,15203,15094,14980,14868,14726,14561,14347,14128
Río Grande ,54304,54319,54295,53882,53705,53354,52606,51777,50976,50128
Sabana Grande ,25265,25361,25344,25052,24723,24476,24096,23619,23171,22690
Salinas ,31078,31078,31042,30761,30411,30176,29740,29286,28777,28216
San Germán ,35527,35691,35626,35193,34721,34164,33580,32964,32325,31654
San Juan ,395326,395484,394244,386865,379518,372442,364089,355553,346534,337288
San Lorenzo ,41058,41036,41023,40640,40264,39919,39325,38741,38082,37379
San Sebastián ,42430,42430,42347,41762,41176,40595,39803,39002,38142,37306
Santa Isabel ,23274,23274,23290,23200,23095,23006,22762,22525,22217,21863
Toa Alta ,74066,74070,74282,74536,74673,74821,74607,74349,73849,73217
Toa Baja ,89609,89616,89467,88087,86741,85508,83841,81994,80088,78092
Trujillo Alto ,74842,74850,74769,73899,73024,72105,70850,69594,68165,66675
Utuado ,33149,33149,33056,32575,32040,31556,30937,30254,29508,28791
Vega Alta ,39951,39951,39946,39811,39628,39501,39074,38666,38140,37566
Vega Baja ,59662,59662,59548,58668,57843,57039,55916,54777,53602,52436
Vieques ,9301,9301,9305,9236,9215,9165,9067,8946,8806,8669
Villalba ,26073,26073,26003,25547,25138,24745,24265,23672,23085,22528
Yabucoa ,37941,37941,37881,37367,36848,36378,35718,35070,34332,33629
Yauco ,42043,41947,41838,41049,40264,39506,38549,37601,36632,35635
